"np"	"dist"	"gamma"	"dir.hor"	"dir.ver"	"id"
409291657	0.0665679558627404	1.59037832560474	0	0	"var1"
1072919072	0.157041593284449	1.84362336066077	0	0	"var1"
1778620783	0.254396097146934	1.90775765491675	0	0	"var1"
2325324253	0.355150399288536	2.07876777744546	0	0	"var1"
2862216867	0.456154287013776	2.1381778052911	0	0	"var1"
3205170904	0.556206668410041	2.27135733771469	0	0	"var1"
3709716763	0.657473550012264	2.30018321244661	0	0	"var1"
3935580092	0.758252581587631	2.36785055348719	0	0	"var1"
4209804289	0.859275213363535	2.31898554206468	0	0	"var1"
147098256	28.9831913522	68.5023387484533	0	0	"var1"
250814387	19.2370203695144	39.5849992235314	0	0	"var1"
306639275	17.4329877996479	31.0459900270298	0	0	"var1"
345250528	16.9747740637117	26.5602758755744	0	0	"var1"
327556208	19.2466841342956	27.2195879721103	0	0	"var1"
184476964	35.5685755396519	47.0145993701455	0	0	"var1"
