"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2","pH_m","pH_SD","eH","Conductivity..ms.cm.","u_sal"
"78",-0.293505646112423,-110.3969,35.32978,1791.4,0,0,0,0,0,0,0,8.07,NA,NA,951.4,0
"79",0.936773946726535,-110.39754,35.32064,1751,0,0,0,0,0,0,0,8.42,NA,NA,597.2,0
"80",0.925005051126831,-110.32509,35.32597,1813.8,0,0,0,0,0,0,0,9.5,NA,NA,746.9,0
"81",0.998740030010915,-110.45796,35.304842,1678.4,0,0,1,0,0,0,0,NA,NA,NA,NA,14000
"82",1.05764239236107,-110.4927,35.294706,1633.4,0,0,1,1,0,0,0,7,NA,NA,NA,14000
"83",1.05852087954255,-110.465937,35.344244,1663.8,0,0,0,0,0,0,0,7,NA,NA,NA,0
"74",0.93976159471711,-110.313613333333,35.3862766666667,1791.8,0,1,0,0,0,0,0,7.36333333333333,0.31785741037977,NA,1165,2000
"76",1.90842121534015,-110.297436666667,35.2262866666667,1725.4,0,0,1,1,0,0,0,7.33333333333333,0.577350269189626,NA,NA,14000
"75",1.84609043527754,-110.218645,35.302645,1713.7,0,0,0,1,0,0,1,7.6275,0.751681448487323,NA,3.884,0
"70",1.02325991318358,-110.422486666667,35.3215066666667,1709.1,0,0,1,0,0,0,0,7.256,0.480291578106467,NA,823.4,14000
"88",-1.32790214206428,-110.35597,36.27152,1995.3,1,0,0,0,0,0,0,6.5,NA,NA,NA,500
"89",-1.32790214206428,-110.40073,36.22494,1935.7,1,0,0,0,0,0,0,6.2,NA,NA,NA,500
"90",-1.32790214206428,-110.39649,36.27391,1970.4,1,0,0,0,0,0,0,6.5,NA,NA,NA,500
"84",-1.32790214206428,-110.301655,36.29421,2026.9,1,0,0,0,0,0,0,6.2,NA,NA,NA,500
"93",-0.136673563501473,-109.199131,35.58241,2312.2,1,0,0,1,0,0,0,NA,NA,NA,NA,500
"93.1",-0.111421418886725,-109.199131,35.58241,2312.2,1,0,0,1,0,0,0,NA,NA,NA,NA,500
"96",0.572594419228745,-109.83136,35.64728,1974.6,1,0,0,0,0,0,0,6.7,NA,NA,NA,500
"97",1.16847322789312,-109.92221,35.54986,1804.4,1,0,0,0,0,1,1,7.75,NA,NA,6.042,500
"98",0.639773662111674,-109.84743,35.613,1951.1,1,0,0,0,0,0,0,9.09,NA,NA,1129,500
"94",1.18529560706128,-109.830025,35.51831,1803.7,1,0,0,0,0,0,0,8.14333333333333,1.20525239403759,NA,835.3,500
"95",1.54605031772718,-109.86999,35.4895733333333,1780.8,1,0,0,0,0,0,0,7.17333333333333,0.483873261643308,NA,1730,500
"103",1.43632868345565,-110.50208,36.03276,1828.3,1,0,0,0,0,0,0,5.9,NA,NA,NA,500
"133",0.99246165902805,-110.15046,35.32455,1775.7,0,1,0,1,0,0,0,7,NA,NA,NA,2000
"134",0.722110543717478,-110.02191,35.40343,1784.4,0,1,0,0,0,0,0,NA,NA,NA,NA,2000
"135",1.40365828208143,-110.17493,35.3816,1804.4,0,1,0,0,0,0,1,7,NA,NA,NA,2000
"130",1.45828632508697,-110.05569,35.3863366666667,1726.6,0,1,0,0,0,1,2,7.36666666666667,0.774359950755031,NA,2545,2000
