type	latitude	longitude	altitude (m)	name	desc	m.data
W	38.296000000	-108.747000000	1981.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Floyd No. 7</td></tr></table>	Floyd No. 7
W	38.295100000	-108.747500000	1985.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Floyd No. 10</td></tr></table>	Floyd No. 10
W	38.293700000	-108.748500000	1995.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Prospects 6 & 8</td></tr></table>	Prospects 6 & 8
W	38.293400000	-108.749200000	2000.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown No.9</td></tr></table>	Unknown No.9
W	38.320200000	-108.767300000	1933.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Cfc Mine</td></tr></table>	Cfc Mine
W	38.320200000	-108.767800000	1940.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Lower Cfc Mines</td></tr></table>	Lower Cfc Mines
W	38.320700000	-108.766100000	1940.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Mine</td></tr></table>	Firebird Mine
W	38.320900000	-108.767000000	1926.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Mine Group</td></tr></table>	Firebird Mine Group
W	38.320400000	-108.765500000	1948.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Prospect</td></tr></table>	Firebird Prospect
W	38.320500000	-108.770600000	1944.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Prospect</td></tr></table>	Firebird Prospect
W	38.302400000	-108.769000000	2071.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Prospects (5)</td></tr></table>	Long Park Prospects (5)
W	38.302200000	-108.768400000	2069.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Prospects (3)</td></tr></table>	Long Park Prospects (3)
W	38.359500000	-108.758600000	1772.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Mill No.2 Mine</td></tr></table>	Mill No.2 Mine
W	38.381900000	-108.787700000	1741.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Raven Mine</td></tr></table>	Raven Mine
W	38.371100000	-108.788900000	1819.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.372100000	-108.792300000	1808.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.369300000	-108.791700000	1832.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.356200000	-108.787900000	1830.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Tramp No.2 Mine</td></tr></table>	Tramp No.2 Mine
W	38.347000000	-108.778700000	1860.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Us Grant</td></tr></table>	Us Grant
W	38.358500000	-108.780100000	1950.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.356300000	-108.775300000	1938.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.360100000	-108.768600000	1834.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.355900000	-108.758200000	1786.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Club No.7 Mine</td></tr></table>	Club No.7 Mine
W	38.360300000	-108.763200000	1817.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>La Salle Group</td></tr></table>	La Salle Group
W	38.308800000	-108.760800000	1981.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Vanadium King No.2</td></tr></table>	Vanadium King No.2
W	38.305300000	-108.751200000	1991.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Cripple Creek No.2</td></tr></table>	Cripple Creek No.2
W	38.317700000	-108.799700000	2072.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.318300000	-108.797800000	2057.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Long Park Group</td></tr></table>	Long Park Group
W	38.336300000	-108.742600000	1841.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Air Vents</td></tr></table>	Air Vents
W	38.337300000	-108.740000000	1817.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Sunbeam Group</td></tr></table>	Sunbeam Group
W	38.335500000	-108.735800000	1780.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Sunbeam Mine M-77-290</td></tr></table>	Sunbeam Mine M-77-290
W	38.335100000	-108.732400000	1744.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Forty-five Ninety Mine</td></tr></table>	Forty-five Ninety Mine
W	38.341800000	-108.733900000	1718.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Rex 36 Mine</td></tr></table>	Rex 36 Mine
W	38.344100000	-108.732200000	1712.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Eagle 3 Mine</td></tr></table>	Eagle 3 Mine
W	38.319300000	-108.767100000	1941.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.319500000	-108.766500000	1938.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.319900000	-108.765300000	1953.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.320400000	-108.765100000	1952.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Groundhog Group</td></tr></table>	Groundhog Group
W	38.320500000	-108.766500000	1934.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Mine</td></tr></table>	Firebird Mine
W	38.321200000	-108.765600000	1953.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Group</td></tr></table>	Firebird Group
W	38.321100000	-108.766400000	1937.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Firebird Group</td></tr></table>	Firebird Group
W	38.322200000	-108.771700000	1876.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Dorothy Mine Group</td></tr></table>	Dorothy Mine Group
W	38.322400000	-108.759100000	1943.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Hidden Basin Mine</td></tr></table>	Hidden Basin Mine
W	38.315500000	-108.753000000	1941.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Tnt #3 Mine</td></tr></table>	Tnt #3 Mine
W	38.312400000	-108.757000000	1951.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Tnt #2 Mine</td></tr></table>	Tnt #2 Mine
W	38.312300000	-108.759600000	1966.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Tnt Group</td></tr></table>	Tnt Group
W	38.356200000	-108.756200000	1757.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Tnt #1 Mine</td></tr></table>	Tnt #1 Mine
W	38.357700000	-108.760800000	1805.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Mill No.4 Mine</td></tr></table>	Mill No.4 Mine
W	38.360700000	-108.762600000	1812.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Air Vent</td></tr></table>	Air Vent
W	38.416800000	-108.831900000	1620.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.412500000	-108.833700000	1673.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.412700000	-108.832100000	1650.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.409000000	-108.839300000	1705.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.410300000	-108.838100000	1691.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.404100000	-108.867200000	1943.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.405000000	-108.866000000	1929.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.403100000	-108.860300000	1849.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Little Buckhorn Group</td></tr></table>	Little Buckhorn Group
W	38.403900000	-108.831100000	1715.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.403900000	-108.830000000	1702.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.402300000	-108.831700000	1704.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.399900000	-108.834100000	1717.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Betty Jean Group</td></tr></table>	Betty Jean Group
W	38.404800000	-108.833400000	1715.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Betty Jean Group</td></tr></table>	Betty Jean Group
W	38.398800000	-108.834700000	1746.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Betty Jean Group</td></tr></table>	Betty Jean Group
W	38.395900000	-108.835400000	1758.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.394100000	-108.835400000	1746.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.393700000	-108.838300000	1788.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.390700000	-108.848100000	1866.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Wildcat #8</td></tr></table>	Wildcat #8
W	38.391100000	-108.856400000	1890.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.391400000	-108.860700000	1878.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.385200000	-108.856600000	1902.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.390400000	-108.833500000	1841.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.389100000	-108.835600000	1845.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.375300000	-108.846300000	1950.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.394400000	-108.832000000	1750.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.409000000	-108.899700000	2062.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.426400000	-108.955300000	2210.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.432700000	-108.953100000	2219.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.428100000	-108.948900000	2211.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.434800000	-108.971700000	2254.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.426500000	-108.990200000	2222.9		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Radium Cycle</td></tr></table>	Radium Cycle
W	38.413200000	-108.832800000	1666.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.413400000	-108.831500000	1655.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.411400000	-108.838000000	1689.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.410200000	-108.840000000	1711.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.403800000	-108.859300000	1840.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Little Buckhorn</td></tr></table>	Little Buckhorn
