"","am1","am2","md1","md5","dd1","dd5"
"1",0,0,8.18635076947534,15.3313372859288,8.18635076947534,15.3313372859288
"2",0,0,9.00964864798929,12.7411275025498,9.00964864798929,12.7411275025498
"3",0,1,1.76386594414041,5.8951475432684,1.76386594414041,7.68743200951355
"4",0,0,2.81176808972582,7.8408215619534,2.81176808972582,8.37236865925039
"5",0,0,8.19444675787238,12.9624925965486,8.19444675787238,17.8277560955265
"6",0,1,1.68661925522629,3.56475248735508,1.68661925522629,3.56475248735508
"7",0,0,5.52342242702926,17.4281046866094,35.9194400342124,45.0589837178267
"8",1,10,0.968908167784664,1.29441467760495,0.968908167784664,1.29441467760495
"9",0,6,1.11592023263368,1.36714694586916,1.11592023263368,1.36714694586916
"10",0,0,2.13847864249366,2.66733488156262,2.13847864249366,5.29340566161321
"11",0,6,1.05971757317678,1.1168297000434,1.05971757317678,1.1168297000434
"12",0,0,2.1327201242547,3.14417321030483,2.1327201242547,6.77462985087706
"13",2,2,0.485922705890629,8.35877028013664,0.485922705890629,8.35877028013664
"14",0,0,4.76334183562885,6.07298848805514,4.76334183562885,12.3041004531439
"15",0,0,12.1243837859453,13.4604584580498,12.1243837859453,13.4604584580498
"16",0,0,9.20198178933363,10.6743998028103,10.6743998028103,16.5930980955414
"17",0,0,9.84311884286338,11.36134787645,9.84311884286338,11.36134787645
"18",0,0,11.4783868584566,16.481733124414,20.3549280590327,24.3759683969356
"19",2,2,0.860438296742017,2.02925198595432,6.5634238338297,8.11118139499407
"20",0,0,9.78049527038895,12.587930782067,9.78049527038895,13.2020048700984
"21",0,0,4.08007743555211,6.90275656474301,6.91929248175682,11.0522327243011
"22",0,0,2.39822300933398,2.6975118577126,3.09463287038963,7.62423974718076
"23",0,0,18.2105340199704,21.443662017307,74.7968618821168,78.7017922463811
"24",0,0,15.3935158559728,25.7067117751784,72.9934391020186,74.562574668878
"25",0,0,15.4048836819659,25.7218047749936,72.9849875752471,74.5774428289335
"26",0,0,2.74513906926426,2.93929500179898,2.93721709881979,4.2337541302731
"27",0,0,3.08350306613996,3.87636047329082,4.95511739668183,5.3989765047556
"28",0,0,11.2123535749738,16.2132053833986,11.2123535749738,22.8346242687987
"29",0,0,7.16147419826999,7.39494165037783,19.4482950155666,26.9485489329672
"30",3,4,0.274050656813391,0.621174921016995,0.478827278358411,1.35589742698376
"31",0,0,13.9263543692069,15.3420662874573,30.4114563580027,33.0903225591517
"32",0,0,17.2249123143348,25.1752668226282,77.0926023142462,78.5833799830564
"33",0,0,14.7729185373003,21.9971628685096,72.411456549697,76.1263469619859
