"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2"
"109",0.533893625797535,-110.99446,35.30301,1430,0,1,0,0,0,0,0
"110",0.549322993602021,-110.95958,35.24194,1457,0,1,0,0,0,0,0
"111",0.603258766396367,-110.97182,35.24472,1453.9,0,1,0,0,0,0,0
"112",0.661066579360438,-111.10149,35.30123,1520.1,0,1,0,0,0,0,0
"113",0.585707955374392,-111.15396,35.2935,1591.3,0,1,0,0,0,0,0
"114",0.715603900731224,-111.21884,35.3125,1677,0,1,0,0,0,0,0
"115",0.678302721100434,-111.22536,35.35483,1565.2,0,1,0,0,0,0,0
"116",0.425946085954646,-111.111955,35.431625,1471.6,0,1,0,1,0,0,0
"117",0.542080924216448,-109.16956,36.4526,2298.7,0,0,0,0,0,0,0
"118",-0.544029349007373,-109.2442,36.41175,1962.5,1,0,0,1,0,0,0
"119",-0.491943552047894,-109.32858,36.355,2027.2,1,0,0,1,0,0,0
"120",-0.427563409326869,-109.40118,36.37257,1916.5,1,0,0,1,0,0,0
"121",0.018439572274337,-109.42817,36.3503,1881.2,1,0,0,1,0,0,0
"122",-0.266633333573322,-109.48013,36.35016,1781.6,1,0,0,1,0,0,0
"123",1.03737962846424,-109.39963,36.94716,1666.3,0,1,0,0,0,0,0
"124",0.160047006595363,-110.70037,37.145985,1155.9,0,1,0,1,0,0,0
"125",0.0177341715758012,-110.618215,37.118745,1760.2,0,1,0,0,0,0,0
"126",-0.273074394916031,-110.791373333333,36.9440733333333,1840.5,0,1,0,0,0,0,0
"127",-0.295933831628786,-110.832696666667,36.97917,1913.4,0,0,0,0,0,0,0
"128",-0.0754105646106097,-110.8114,36.9590925,1849.4,0,1,0,0,0,0,0
"129",0.0491863767148753,-110.881274,36.980524,1836.7,0,0,0,0,0,0,0
"130",0.000257265648649198,-109.14528,35.461268,2025.5,1,0,0,1,0,0,0
"131",1.21814124710157,-110.23061,37.04236,1512.1,1,0,0,0,0,0,0
"132",1.25430775639028,-110.28693,37.08229,1455.3,1,0,0,0,0,0,0
"133",0.233348544353302,-110.34734,37.05113,1510.1,1,0,0,0,0,2,5
"134",0.197204537704399,-110.34299,37.05302,1508.2,1,0,0,0,0,0,5
"135",1.21849299530282,-110.35516,37.04385,1518.6,1,0,0,1,0,1,3
"136",-0.202335010261738,-110.10136,37.13289,1737.3,1,0,0,0,0,0,0
"137",1.45582435225809,-110.10136,37.02814,1696.6,1,0,0,0,0,0,0
"138",0.516092398879913,-110.30355,37.02397,1497.8,1,0,0,0,0,0,0
"139",0.967179661654466,-110.3268,37.02133,1604.7,1,0,0,0,0,0,0
"140",1.30206166033769,-110.3268,37.00529,1498.2,1,0,0,1,0,0,3
"141",0.475373470700607,-110.21784,37.00499,1635.3,1,0,0,0,0,0,4
