"x"	"y"	"var1.pred"	"var1.var"
-110.4174	37.0333	2.25720467459657	0.106933113953992
-110.334	37.0333	2.44445759550721	0.129394046073295
-110.2507	37.0167	NA	NA
-109.3907	37.0272	1.40603986272923	0.119394957414867
-110.321	37.0181	2.58576423004724	0.0912628389308718
-110.4615	37.0125	3.0336351642253	0.0224854743078203
-110.3213	37.0189	2.52717828267249	0.0930969227718699
-110.3557	37.0072	2.24703023471041	0.0703448632207779
-110.4227	37.0325	2.39096278974285	0.100713369725378
-110.2613	37.0186	NA	NA
-110.3154	37.0056	NA	NA
-110.2579	37.0169	NA	NA
-110.4179	37.0244	2.63231695914399	0.0915761745267531
-110.244	37.0194	2.87296603534952	0.0134093747919829
-110.2157	37.0147	NA	NA
-110.2327	37.0211	NA	NA
-109.3813	37.0272	1.29426085533714	0.118118328933699
-108.2944	35.7331	1.61511837951812	0.0259701367343746
-108.26	35.6744	4.1091214691915	0.0251426230674973
-108.2236	35.7028	2.12425854238778	0.0389066185866262
-109.3883	36.7028	1.85505261792218	0.0283270205758054
-109.275	36.7444	NA	NA
-109.2892	36.7067	1.78227727455193	0.0240437768695119
-109.3328	36.6608	NA	NA
-109.2772	36.6481	NA	NA
-109.2772	36.6444	NA	NA
-109.0808	36.8036	1.45954854575036	0.00167385882648263
-109.2669	36.6058	2.22295465769954	0.0333631940264102
-109.1181	36.87	NA	NA
-109.1331	36.8456	1.79950380227608	0.013095258785136
-109.1017	36.8489	2.26959041350533	0.00318624165322611
-109.0928	36.8489	NA	NA
-109.0969	36.8414	NA	NA
-109.0433	36.8472	NA	NA
-109.0533	36.5633	NA	NA
-109.0508	36.5494	NA	NA
-109.1525	36.7436	NA	NA
-109.2817	36.8792	2.38257575428871	0.0258420141662015
-109.08	36.815	NA	NA
-109.3258	36.6697	NA	NA
-109.1861	36.7844	NA	NA
-109.2728	36.5983	2.36007023766257	0.028375008482578
-110.3311	35.0481	2.41924379324599	0.0305534035310203
-111.2881	35.7536	3.34683864089501	0.0271886143958475
-111.375	36.0233	4.04204298353599	0.0025259472673899
-111.3867	35.8214	3.3101214763896	0.0287079461895238
-110.1125	36.9553	1.67869992577179	0.0331432231288821
-109.2156	36.8225	1.57654276433137	0.0333455052380352
-109.2778	36.7944	NA	NA
-111.0753	35.7858	2.35875358963698	0.03265657342083
-110.4164	36.8764	NA	NA
-109.2594	36.8917	3.40591992311046	0.00312086823719676
-109.2625	36.9075	2.95753341680065	0.0320741953516549
-109.2719	36.8836	2.610674616573	0.0177528236688604
-109.2636	36.8853	2.64674944904481	0.0137477319827386
-109.2572	36.5128	2.80980815301357	0.0315371171912273
-110.3706	36.9653	1.62023384775619	0.0292175936281937
-109.4775	36.9269	2.69831423959393	0.0184963526553457
-109.2858	36.915	2.5638987664967	0.032907544368328
-109.2539	36.9369	2.42065116813763	0.00632468353163013
-109.4344	36.8603	2.12589387536078	0.0262441186276755
-109.2972	36.9011	2.46824334812155	0.0226092849185514
-109.3072	36.9081	2.26851649627822	0.0238480272472501
-110.4486	36.9931	2.44817061014669	0.0303132299515509
-109.2247	36.4672	2.4076649548566	0.0291799099498101
-109.2139	36.4672	2.44186301006141	0.0290021519833284
-109.2833	36.8	NA	NA
-109.2158	36.7967	1.34889209692783	0.0178004744702835
-109.4694	36.885	2.2793591884029	0.012350428781433
-109.3172	36.9694	2.09589663788831	0.00257018691083448
-109.3539	36.9058	2.09163971664197	0.0299553220407564
-109.8992	36.8992	1.41549054616276	0.0188010804143411
-109.8883	36.9086	3.2506440218805	0.0332809747771846
-109.8422	36.9892	0.577188409667934	0.0308029152133585
-109.8539	36.98	0.853587556690138	0.00752070894563988
-109.8647	36.9622	3.01054307403314	0.0286575624135449
-111.4092	35.9031	3.76080735395758	0.0193703814122056
-111.3981	35.8758	4.36702527117881	0.0343625210165524
-111.3422	35.7658	3.19514643395589	0.000645680061013073
-109.2881	36.6408	NA	NA
-109.4589	36.9372	2.44177994250729	0.0076353935633166
-109.2889	36.9008	2.60621045227532	0.0228220287611821
-109.9197	36.2594	NA	NA
-109.8297	36.3594	3.73084933198127	0.0201930075279188
-109.8461	36.3861	2.71788445376131	0.0327860207734733
-109.8481	36.2869	3.03838016970618	0.0174358391803317
-109.8364	36.2922	3.06222988586067	0.0270623361929587
-109.9106	36.4608	2.71459000184213	0.014873232641863
-109.9358	36.4628	2.31530662502298	0.0190075302316176
-109.8389	36.2214	3.27815903460735	0.0308392037128649
