"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2","waters.rad"
"58",1.05764239236107,-110.4927,35.294706,1633.4,0,0,1,1,0,0,0,1.4
"59",1.05852087954255,-110.465937,35.344244,1663.8,0,0,0,0,0,0,0,2.64821603927986
"60",0.93976159471711,-110.313613333333,35.3862766666667,1791.8,0,1,0,0,0,0,0,1.60539742939287
"61",1.90842121534015,-110.297436666667,35.2262866666667,1725.4,0,0,1,1,0,0,0,1.45945289687996
"62",1.84609043527754,-110.218645,35.302645,1713.7,0,0,0,1,0,0,1,1.9
"63",1.02325991318358,-110.422486666667,35.3215066666667,1709.1,0,0,1,0,0,0,0,1.2496779124358
"64",-1.32790214206428,-110.35597,36.27152,1995.3,1,0,0,0,0,0,0,3.302100456621
"65",-1.32790214206428,-110.40073,36.22494,1935.7,1,0,0,0,0,0,0,2.49608247422678
"66",-1.32790214206428,-110.39649,36.27391,1970.4,1,0,0,0,0,0,0,3.39819346205315
"67",-1.32790214206428,-110.301655,36.29421,2026.9,1,0,0,0,0,0,0,3.80856289488799
"68",-0.136673563501473,-109.199131,35.58241,2312.2,1,0,0,1,0,0,0,2.70145433724593
"69",-0.111421418886725,-109.199131,35.58241,2312.2,1,0,0,1,0,0,0,2.70145433724593
"70",0.572594419228745,-109.83136,35.64728,1974.6,1,0,0,0,0,0,0,3.6729927563858
"71",1.16847322789312,-109.92221,35.54986,1804.4,1,0,0,0,0,1,1,3.34537206931702
"72",0.639773662111674,-109.84743,35.613,1951.1,1,0,0,0,0,0,0,3.59835294117665
"73",1.18529560706128,-109.830025,35.51831,1803.7,1,0,0,0,0,0,0,3.4548273480663
"74",1.54605031772718,-109.86999,35.4895733333333,1780.8,1,0,0,0,0,0,0,3.46779056386645
"75",1.43632868345565,-110.50208,36.03276,1828.3,1,0,0,0,0,0,0,1.89373493975904
"76",0.99246165902805,-110.15046,35.32455,1775.7,0,1,0,1,0,0,0,3.40646740530793
"77",0.722110543717478,-110.02191,35.40343,1784.4,0,1,0,0,0,0,0,2.75220696669209
"78",1.40365828208143,-110.17493,35.3816,1804.4,0,1,0,0,0,0,1,1.6
"79",1.45828632508697,-110.05569,35.3863366666667,1726.6,0,1,0,0,0,1,2,1.06167046919958
"80",0.76469628963514,-110.09029,35.37383,1741.5,0,1,0,0,0,0,0,0
"81",-0.138437574789441,-110.141155,35.40161,1818.9,0,1,0,0,0,0,1,3.69948051948049
"82",1.97469214725121,-109.8944875,35.350935,1727.5,0,1,0,1,0,0,0,2.45474193548387
"83",1.08104738396129,-110.00538,35.324475,1712.6,0,1,0,1,0,0,0,2.5
"84",1.38094367418252,-110.016474,35.325986,1692.6,0,1,0,1,0,0,0,2.85880423280422
"85",-0.552156706605696,-109.88857,35.77573,1958.6,1,0,0,0,0,0,0,3.63721692718263
"86",0.644082235182763,-110.133145,35.78137,1953.3,1,0,0,0,0,0,0,2.06756637168141
"87",-0.372457730202065,-110.130365,35.7966,1989.4,1,0,0,0,0,0,0,1.35428291727851
"88",0.366517818403013,-110.36246,36.77191,1815.4,1,0,0,0,0,0,0,1.32317381316998
"89",-1.32790214206428,-110.4794,36.64378,1984.8,0,1,0,0,0,0,0,1.69360665137615
"90",-1.32790214206428,-110.47151,36.64064,1938.8,0,1,0,0,0,0,0,2.6
"91",0.291027078225269,-110.46989,36.6402,1926.5,0,1,0,0,0,0,0,3.31591558584303
"92",-0.0132461430326617,-110.46309,36.62396,1907.6,0,0,0,0,0,0,0,2.50310000000004
"93",0.55471441919489,-110.07796,36.7855,1634.8,1,0,0,0,0,0,0,2.2
"94",1.27572981778125,-110.4007,36.676085,1841.5,0,1,0,0,0,0,0,0.1
"95",2.12123688699733,-111.331275,36.850355,1537.9,0,0,0,0,0,0,0,0.152708273277596
"96",-0.328417708544464,-111.360285,36.884815,1409,0,0,0,0,0,0,0,1.57910147172738
"97",-0.249171072208076,-111.183665,36.615225,1707.5,0,0,0,0,0,0,0,-0.108189655172404
"98",1.38727893875538,-111.18777,35.55564,1445,0,1,0,1,0,0,0,2.80990203466469
"99",0.229372357700671,-111.1558,35.55462,1462,0,0,0,0,0,0,0,2.6668526502663
"100",0.613750081258928,-111.00768,35.32898,1430,0,1,0,0,0,0,0,4.30067482188465
"101",0.533893625797535,-110.99446,35.30301,1430,0,1,0,0,0,0,0,2
"102",0.549322993602021,-110.95958,35.24194,1457,0,1,0,0,0,0,0,1.18307514450866
"103",0.603258766396367,-110.97182,35.24472,1453.9,0,1,0,0,0,0,0,1.88011116257527
"104",0.661066579360438,-111.10149,35.30123,1520.1,0,1,0,0,0,0,0,1.7
"105",0.585707955374392,-111.15396,35.2935,1591.3,0,1,0,0,0,0,0,0.5
"106",0.715603900731224,-111.21884,35.3125,1677,0,1,0,0,0,0,0,1.74638694638695
"107",0.678302721100434,-111.22536,35.35483,1565.2,0,1,0,0,0,0,0,2.32257294429708
"108",0.425946085954646,-111.111955,35.431625,1471.6,0,1,0,1,0,0,0,2.96462967986977
"109",0.542080924216448,-109.16956,36.4526,2298.7,0,0,0,0,0,0,0,2.51430935709738
"110",-0.544029349007373,-109.2442,36.41175,1962.5,1,0,0,1,0,0,0,3.07648537477152
"111",-0.491943552047894,-109.32858,36.355,2027.2,1,0,0,1,0,0,0,2.64659188955997
"112",-0.427563409326869,-109.40118,36.37257,1916.5,1,0,0,1,0,0,0,1.95119252873563
"113",0.018439572274337,-109.42817,36.3503,1881.2,1,0,0,1,0,0,0,3.09258409785934
"114",-0.266633333573322,-109.48013,36.35016,1781.6,1,0,0,1,0,0,0,3.78472727272727
"115",1.03737962846424,-109.39963,36.94716,1666.3,0,1,0,0,0,0,0,1.4
